,gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
935,ESPORTSTMNT01/1310245,LFL,GameWard,Vitality.Bee,Mordekaiser,Sejuani,Sett,Aphelios,Thresh,Ornn,Gragas,Corki,Varus,TahmKench,0
936,ESPORTSTMNT01/1310267,LFL,GameWard,Vitality.Bee,Sett,Gragas,Veigar,Ezreal,Karma,Aatrox,JarvanIV,Azir,Varus,TahmKench,1
937,ESPORTSTMNT01/1310277,LFL,GameWard,Vitality.Bee,Gangplank,Gragas,Varus,Kaisa,Leona,Sion,Skarner,Azir,MissFortune,Braum,0
938,ESPORTSTMNT01/1310283,LFL,Vitality.Bee,GameWard,Renekton,Gragas,Azir,Kaisa,Taric,Shen,LeeSin,Kassadin,Ezreal,Leona,1
939,ESPORTSTMNT03/1335587,BRCC,Intergalaxy Tigers Gaming,Falkol,Sett,LeeSin,Leblanc,Senna,Karma,Vayne,Ekko,Syndra,Varus,TahmKench,0
940,ESPORTSTMNT03/1335631,BRCC,Havan Liberty Gaming,RED Canids,Ornn,RekSai,Zoe,Xayah,Rakan,Mordekaiser,LeeSin,Azir,Aphelios,Braum,1
941,ESPORTSTMNT03/1335641,BRCC,Team oNe eSports,Santos e-Sports,Gangplank,Taliyah,Sett,Senna,Volibear,Aatrox,Gragas,Viktor,Varus,TahmKench,0
942,5957-7316,LPL,Royal Never Give Up,Oh My God,Ornn,LeeSin,Corki,Kalista,Nautilus,Gangplank,JarvanIV,Rumble,MissFortune,Braum,1
943,5957-7317,LPL,Oh My God,Royal Never Give Up,Irelia,Elise,Zoe,Aphelios,Nautilus,Aatrox,LeeSin,Orianna,MissFortune,Leona,1
944,5957-7318,LPL,Royal Never Give Up,Oh My God,Ornn,RekSai,Rumble,MissFortune,Nautilus,Mordekaiser,LeeSin,Zoe,Varus,Leona,1
945,5958-7319,LPL,Victory Five,Team WE,Mordekaiser,JarvanIV,Zoe,Senna,Galio,Sett,Gragas,Yasuo,MissFortune,Nautilus,0
946,5958-7320,LPL,Team WE,Victory Five,Renekton,LeeSin,Leblanc,Kalista,Thresh,Poppy,Elise,Zoe,Varus,Braum,1
947,5959-7321,LPL,Invictus Gaming,Vici Gaming,Kalista,Olaf,Rumble,Ezreal,Yuumi,Ornn,Trundle,Zoe,MissFortune,Leona,1
948,5959-7322,LPL,Invictus Gaming,Vici Gaming,Kalista,JarvanIV,Syndra,Varus,Thresh,Kennen,RekSai,Ekko,MissFortune,Nautilus,1
949,ESPORTSTMNT01/1320561,LFL,GamersOrigin,Vitality.Bee,Ornn,Karthus,Leblanc,Aphelios,Rakan,Aatrox,Gragas,Galio,Ezreal,Taric,0
950,ESPORTSTMNT01/1320573,LFL,GamersOrigin,Vitality.Bee,Ornn,Karthus,Leblanc,Aphelios,Rakan,Aatrox,Gragas,Lissandra,Ezreal,Taric,1
951,ESPORTSTMNT01/1320583,LFL,GamersOrigin,Vitality.Bee,Ornn,Karthus,Zoe,Aphelios,Braum,Aatrox,Nocturne,Galio,Cassiopeia,Leona,1
952,ESPORTSTMNT01/1320593,LFL,Vitality.Bee,GamersOrigin,Mordekaiser,JarvanIV,Ryze,Ezreal,Yuumi,Renekton,Gragas,Zoe,Aphelios,Thresh,1
953,ESPORTSTMNT01/1320599,LFL,GamersOrigin,Vitality.Bee,Ornn,Olaf,Zoe,Kaisa,Nautilus,Mordekaiser,JarvanIV,Cassiopeia,Ezreal,Yuumi,1
954,5960-7323,LPL,eStar,LGD Gaming,Sett,Karthus,Pantheon,MissFortune,Thresh,Ornn,Olaf,Sylas,Lucian,Bard,1
955,5960-7324,LPL,LGD Gaming,eStar,Ornn,Trundle,Sylas,Lucian,Bard,Poppy,LeeSin,Leblanc,MissFortune,Thresh,0
956,5961-7325,LPL,Bilibili Gaming,LNG Esports,Aatrox,Elise,Lissandra,Aphelios,Nautilus,Mordekaiser,JarvanIV,Leblanc,Senna,TahmKench,1
957,5961-7326,LPL,LNG Esports,Bilibili Gaming,Qiyana,Elise,Azir,Senna,TahmKench,Aatrox,Sejuani,Sylas,Aphelios,Nautilus,1
958,ESPORTSTMNT03/1335844,LJL,Crest Gaming Act,Burning Core,Sett,JarvanIV,Vladimir,Xayah,Rakan,Gangplank,LeeSin,Viktor,Aphelios,Bard,1
959,5961-7327,LPL,Bilibili Gaming,LNG Esports,Aatrox,RekSai,Viktor,Aphelios,Nautilus,Malphite,Poppy,Azir,Senna,TahmKench,0
960,5962-7328,LPL,EDward Gaming,Suning,Ornn,Nunu,Lucian,Ezreal,Leona,Janna,Olaf,Lissandra,MissFortune,Braum,0
961,5962-7329,LPL,EDward Gaming,Suning,Sylas,Sejuani,Qiyana,MissFortune,Nautilus,Ornn,JarvanIV,Azir,Jhin,TahmKench,0
962,ESPORTSTMNT04/1140068,TRA,İstanbul Wildcats Academy,Royal Youth Academy,Irelia,Shaco,Ekko,Aphelios,Thresh,Fiora,JarvanIV,Syndra,MissFortune,Leona,1
963,ESPORTSTMNT04/1140073,TRA,5 Ronin Academy,Dark Passage Academy,Mordekaiser,JarvanIV,Zoe,MissFortune,Braum,Aatrox,Sejuani,Syndra,Kaisa,Yuumi,1
964,ESPORTSTMNT04/1140074,TRA,Team AURORA Academy,SuperMassive Academy,Ornn,Zac,Syndra,MissFortune,Yuumi,Aatrox,Sejuani,Diana,Senna,TahmKench,1
965,ESPORTSTMNT04/1140077,TRA,Galakticos Academy,1907 Fenerbahçe Academy,Aatrox,Elise,Orianna,Aphelios,Nautilus,Sett,JarvanIV,Rumble,MissFortune,Thresh,0
966,ESPORTSTMNT01/1310842,OPL,Dire Wolves,Avant Gaming,Sett,LeeSin,Orianna,MissFortune,Nautilus,Renekton,Taliyah,Zoe,Ezreal,Morgana,1
967,ESPORTSTMNT01/1310854,OPL,Pentanet.GG,Legacy Esports,Maokai,LeeSin,Leblanc,MissFortune,Braum,Soraka,JarvanIV,Syndra,Kalista,Nautilus,1
968,5963-7330,LPL,Oh My God,Rogue Warriors,Gangplank,LeeSin,Zoe,Aphelios,Nautilus,Aatrox,Elise,Azir,MissFortune,Leona,1
969,ESPORTSTMNT01/1310866,OPL,Avant Gaming,Gravitas,Gangplank,Taliyah,Lucian,KogMaw,Lulu,Renekton,Zac,Akali,Ezreal,Morgana,1
970,5963-7331,LPL,Rogue Warriors,Oh My God,Renekton,LeeSin,Leblanc,Vayne,Senna,Aatrox,Olaf,Galio,Aphelios,Blitzcrank,0
971,5964-7332,LPL,Team WE,Vici Gaming,Renekton,JarvanIV,Rumble,Aphelios,Thresh,Mordekaiser,LeeSin,Sylas,MissFortune,Nautilus,1
972,ESPORTSTMNT01/1310892,OPL,Chiefs Esports Club,Legacy Esports,Aatrox,LeeSin,Leblanc,Senna,TahmKench,Sion,JarvanIV,Chogath,KogMaw,Lulu,0
973,5964-7333,LPL,Team WE,Vici Gaming,Renekton,Ekko,Pantheon,Kalista,Taric,Aatrox,RekSai,Zoe,MissFortune,Nautilus,1
974,ESPORTSTMNT01/1310914,PCS,ahq eSports Club,Nova Esports,Sett,Olaf,Syndra,Varus,TahmKench,Renekton,Trundle,Ekko,MissFortune,Braum,1
975,5965-7334,LPL,Dominus Esports,FunPlus Phoenix,Aatrox,Elise,Qiyana,MissFortune,Alistar,Renekton,RekSai,Sylas,Kalista,Rakan,0
976,ESPORTSTMNT01/1321017,VCS,CERBERUS Esports,Team Secret,Kalista,Pantheon,Karma,Varus,Yuumi,Irelia,Shyvana,Jayce,Senna,TahmKench,0
977,ESPORTSTMNT01/1310941,PCS,Liyab Esports,J Team,Jayce,Elise,Pantheon,Ezreal,Braum,Renekton,RekSai,Nautilus,Kaisa,Thresh,1
978,5965-7335,LPL,Dominus Esports,FunPlus Phoenix,Vladimir,JarvanIV,Sylas,Senna,TahmKench,Ornn,LeeSin,Kassadin,Varus,Yuumi,0
979,ESPORTSTMNT01/1321030,VCS,Team Secret,CERBERUS Esports,Aatrox,Shyvana,Kalista,Syndra,Thresh,Sett,Sejuani,Zoe,Aphelios,Nautilus,0
980,ESPORTSTMNT01/1310949,PCS,Alpha Esports,Resurgence,Aatrox,RekSai,Zoe,Jinx,TahmKench,Maokai,LeeSin,Cassiopeia,MissFortune,Braum,1
981,ESPORTSTMNT01/1321040,VCS,CERBERUS Esports,Team Secret,Renekton,RekSai,Zoe,MissFortune,Thresh,Maokai,Shyvana,Irelia,Syndra,Nautilus,1
982,ESPORTSTMNT01/1310960,PCS,J Team,Machi Esports,Aatrox,Olaf,Ornn,Ezreal,Rakan,Kennen,JarvanIV,Azir,MissFortune,Braum,0
983,ESPORTSTMNT01/1310979,PCS,Alpha Esports,Hong Kong Attitude,Aatrox,Gragas,Vayne,MissFortune,Braum,Renekton,Sejuani,Zoe,Ezreal,Ornn,1
984,ESPORTSTMNT01/1321057,VCS,EVOS Esports,V Gaming Adonis,Mordekaiser,Trundle,Syndra,MissFortune,Thresh,Rumble,Pantheon,Kalista,Ezreal,Taric,1
985,ESPORTSTMNT01/1321064,VCS,V Gaming Adonis,EVOS Esports,Aatrox,JarvanIV,Sylas,Aphelios,Nautilus,Irelia,Trundle,Azir,MissFortune,Thresh,1
986,ESPORTSTMNT04/1140087,TRA,5 Ronin Academy,SuperMassive Academy,Renekton,JarvanIV,Leblanc,Varus,TahmKench,Kennen,Gragas,Irelia,MissFortune,Nautilus,0
987,ESPORTSTMNT01/1311002,PCS,Berjaya Dragons,Talon Esports,Aatrox,Gragas,Zoe,Ezreal,TahmKench,Renekton,RekSai,Leblanc,MissFortune,Bard,0
988,ESPORTSTMNT01/1321081,VCS,EVOS Esports,V Gaming Adonis,Mordekaiser,RekSai,Syndra,Aphelios,Nautilus,Gangplank,Elise,Sylas,Kalista,Thresh,1
989,ESPORTSTMNT04/1140095,TRA,Royal Youth Academy,1907 Fenerbahçe Academy,Vladimir,RekSai,Zoe,Aphelios,Nautilus,Sett,LeeSin,Cassiopeia,MissFortune,Leona,0
990,ESPORTSTMNT04/1140099,TRA,Team AURORA Academy,İstanbul Wildcats Academy,Ornn,Olaf,Rumble,Aphelios,Yuumi,Aatrox,Elise,Azir,Senna,TahmKench,0
991,ESPORTSTMNT04/1140100,TRA,Beşiktaş Academy,Dark Passage Academy,Aatrox,Poppy,Ryze,Senna,TahmKench,Sett,JarvanIV,Cassiopeia,Aphelios,Pyke,0
992,5966-7336,LPL,Victory Five,JD Gaming,Aatrox,Elise,Zoe,Lucian,Leona,Renekton,LeeSin,Syndra,MissFortune,Nautilus,0
993,5966-7337,LPL,JD Gaming,Victory Five,Aatrox,Sylas,Lucian,MissFortune,Thresh,Ornn,JarvanIV,Taliyah,Ezreal,TahmKench,1
994,5967-7338,LPL,eStar,EDward Gaming,Mordekaiser,LeeSin,Rumble,Aphelios,Thresh,Renekton,Sejuani,Sylas,MissFortune,Braum,0
995,ESPORTSTMNT01/1321252,PCS,Hong Kong Attitude,Machi Esports,Ornn,RekSai,Zoe,Lucian,Braum,Aatrox,JarvanIV,Orianna,MissFortune,Bard,0
996,5967-7339,LPL,eStar,EDward Gaming,Maokai,LeeSin,Rumble,Aphelios,Morgana,Renekton,Sejuani,Azir,MissFortune,Nautilus,0
997,ESPORTSTMNT01/1321269,VCS,GAM Esports,Team Flash,Sett,RekSai,Syndra,MissFortune,Nautilus,Kennen,LeeSin,Lucian,Xayah,Thresh,1
998,ESPORTSTMNT01/1321275,PCS,Nova Esports,Alpha Esports,Fiora,Elise,Pantheon,Kalista,Thresh,Aatrox,LeeSin,Sylas,MissFortune,Nautilus,1
999,5968-7340,LPL,Bilibili Gaming,Suning,Maokai,Graves,Azir,Senna,Nautilus,Janna,JarvanIV,Kassadin,MissFortune,Leona,0
1000,ESPORTSTMNT04/1140106,TCL,İstanbul Wildcats,Royal Youth,Aatrox,Gragas,Yasuo,Aphelios,Braum,Renekton,JarvanIV,Diana,Syndra,Thresh,1
1001,5968-7341,LPL,Bilibili Gaming,Suning,Maokai,Sylas,Lucian,Senna,Nautilus,Janna,JarvanIV,Kassadin,MissFortune,Leona,0
1002,ESPORTSTMNT01/1321280,VCS,Team Flash,GAM Esports,Sett,Olaf,Nautilus,Kaisa,Thresh,Renekton,LeeSin,Syndra,Xayah,Rakan,1
1003,ESPORTSTMNT01/1321293,PCS,Berjaya Dragons,Nova Esports,Aatrox,Gragas,Syndra,MissFortune,Nautilus,Fiora,LeeSin,Kassadin,Kalista,Thresh,1
1004,ESPORTSTMNT04/1140119,TCL,5 Ronin,Dark Passage,Aatrox,JarvanIV,Cassiopeia,MissFortune,Braum,Irelia,Karthus,Pantheon,Ezreal,Rakan,0
1005,ESPORTSTMNT01/1311257,VCS,GAM Esports,Team Flash,Aatrox,RekSai,Galio,Aphelios,Braum,Mordekaiser,Nidalee,Nautilus,Xayah,Leona,1
1006,ESPORTSTMNT04/1150169,LCL,Vega Squadron,Dragon Army,Ornn,RekSai,Zoe,Kaisa,Braum,Sett,Trundle,Leblanc,MissFortune,Nautilus,0
1007,ESPORTSTMNT01/1311266,PCS,ahq eSports Club,Talon Esports,Sett,LeeSin,Zoe,MissFortune,Leona,Ornn,RekSai,Leblanc,Xayah,Rakan,0
1008,ESPORTSTMNT04/1140135,TCL,Team AURORA,Papara SuperMassive,Ornn,Karthus,Ziggs,Xayah,Rakan,Fiora,Sejuani,Azir,Aphelios,TahmKench,0
1009,ESPORTSTMNT01/1311289,VCS,Saigon Buffalo,FTV Esports,Akali,RekSai,Zoe,Kalista,Leona,Yasuo,Trundle,Ornn,MissFortune,Nautilus,1
1010,ESPORTSTMNT01/1321328,PCS,J Team,Berjaya Dragons,Mordekaiser,RekSai,Leblanc,MissFortune,Nautilus,Sett,Sejuani,Irelia,Ezreal,Morgana,0
1011,ESPORTSTMNT04/1140148,TCL,Galakticos,1907 Fenerbahçe Esports,Sett,Gragas,Zoe,Senna,Nautilus,Aatrox,Pantheon,Taliyah,Varus,TahmKench,0
1012,ESPORTSTMNT04/1150190,LCL,Gambit Esports,CrowCrowd,Ornn,Sejuani,Yasuo,Kaisa,Nautilus,Sett,RekSai,Cassiopeia,Ezreal,Thresh,1
1013,ESPORTSTMNT01/1311328,VCS,FTV Esports,Saigon Buffalo,Tristana,Elise,Jayce,Kaisa,Nautilus,Akali,LeeSin,Zoe,MissFortune,Thresh,0
1014,ESPORTSTMNT04/1150193,LCL,M19,Elements Pro Gaming,Ornn,Elise,Cassiopeia,MissFortune,Leona,Mordekaiser,RekSai,Anivia,Varus,Nautilus,0
1015,ESPORTSTMNT04/1150200,LCL,RoX,Unicorns Of Love.CIS,Mordekaiser,Gragas,Pantheon,Aphelios,Nautilus,Ornn,Elise,Graves,Neeko,Braum,1
1016,ESPORTSTMNT01/1321377,CBLOL,INTZ,Vivo Keyd,Sett,Trundle,Camille,MissFortune,Yuumi,Jax,Ekko,Azir,Ezreal,Karma,1
1017,ESPORTSTMNT01/1321394,CBLOL,Flamengo Esports,FURIA Esports,Lucian,Karthus,Pantheon,Kalista,Blitzcrank,Renekton,Taliyah,Ornn,MissFortune,Rakan,1
1018,ESPORTSTMNT01/1321408,CBLOL,KaBuM! e-Sports,Prodigy Esports,Rumble,Graves,Syndra,Aphelios,Braum,Renekton,Elise,Zoe,Varus,Nautilus,1
1019,ESPORTSTMNT01/1321427,CBLOL,Redemption eSports Porto Alegre,paiN Gaming,Rumble,Pantheon,Lucian,Kaisa,Galio,Renekton,Elise,Cassiopeia,Ezreal,Nautilus,0
1020,ESPORTSTMNT01/1311468,VCS,FTV Esports,CERBERUS Esports,Kalista,Ekko,Syndra,MissFortune,Sett,Aatrox,Elise,Nautilus,Aphelios,Leona,1
1021,ESPORTSTMNT01/1311478,VCS,CERBERUS Esports,FTV Esports,Pantheon,Elise,Akali,Aphelios,Thresh,Ornn,Olaf,Diana,MissFortune,Braum,1
1022,5969-7342,LPL,Rogue Warriors,Invictus Gaming,Mordekaiser,Olaf,Taliyah,MissFortune,Nautilus,Rumble,LeeSin,Orianna,Aphelios,Thresh,0
1023,ESPORTSTMNT01/1311494,VCS,FTV Esports,CERBERUS Esports,Irelia,Nidalee,Galio,Aphelios,TahmKench,Aatrox,Elise,Akali,MissFortune,Nautilus,1
1024,5969-7343,LPL,Rogue Warriors,Invictus Gaming,Renekton,Olaf,Rumble,Aphelios,Blitzcrank,Kennen,JarvanIV,Syndra,Varus,Thresh,1
1025,ESPORTSTMNT01/1321561,PCS,Liyab Esports,Resurgence,Lucian,Gragas,Galio,Ezreal,Braum,Sett,XinZhao,Leblanc,MissFortune,Thresh,0
1026,ESPORTSTMNT01/1311512,VCS,V Gaming Adonis,GAM Esports,Pantheon,Sejuani,Irelia,Xayah,Blitzcrank,Aatrox,Qiyana,Syndra,Lucian,Nautilus,0
1027,5969-7344,LPL,Rogue Warriors,Invictus Gaming,Ornn,Olaf,Zoe,Aphelios,Thresh,Lucian,Trundle,Neeko,Ezreal,TahmKench,0
1028,ESPORTSTMNT01/1311530,VCS,GAM Esports,V Gaming Adonis,Camille,Nocturne,Azir,Aphelios,Braum,Chogath,RekSai,Kalista,Xayah,Nautilus,1
1029,5970-7345,LPL,Royal Never Give Up,Team WE,Aatrox,LeeSin,Sylas,Aphelios,Nautilus,Kennen,JarvanIV,Rumble,MissFortune,Braum,1
1030,ESPORTSTMNT01/1321580,PCS,Alpha Esports,Liyab Esports,Renekton,LeeSin,Leblanc,MissFortune,Thresh,Jayce,JarvanIV,Zoe,Ezreal,Taric,1
1031,5970-7346,LPL,Royal Never Give Up,Team WE,Kennen,LeeSin,Syndra,Aphelios,Leona,Aatrox,Gragas,Zoe,MissFortune,Nautilus,1
1032,ESPORTSTMNT01/1321598,PCS,ahq eSports Club,Hong Kong Attitude,Renekton,Olaf,Rumble,Ezreal,Thresh,Aatrox,Trundle,Sylas,MissFortune,Blitzcrank,1
1033,ESPORTSTMNT04/1140167,TCL,Papara SuperMassive,5 Ronin,Kalista,Sejuani,Velkoz,MissFortune,Taric,Tristana,Elise,Lucian,Cassiopeia,Nautilus,1
1034,5971-7347,LPL,Top Esports,LGD Gaming,Renekton,RekSai,Zoe,Varus,Thresh,Mordekaiser,JarvanIV,Lissandra,Senna,Nautilus,0
1035,ESPORTSTMNT01/1321604,PCS,Talon Esports,Resurgence,Ornn,RekSai,Azir,MissFortune,Volibear,Renekton,Trundle,Kassadin,Ezreal,Yuumi,1
1036,5971-7348,LPL,LGD Gaming,Top Esports,Maokai,LeeSin,Ornn,Varus,Thresh,Gangplank,JarvanIV,Azir,MissFortune,Braum,1
1037,ESPORTSTMNT04/1140174,TCL,1907 Fenerbahçe Esports,Royal Youth,Akali,Elise,Pantheon,Aphelios,TahmKench,Rumble,JarvanIV,Zoe,Twitch,Leona,1
1038,ESPORTSTMNT01/1321617,PCS,Berjaya Dragons,Hong Kong Attitude,Mordekaiser,RekSai,Ekko,MissFortune,Thresh,Gangplank,Trundle,Syndra,Varus,TahmKench,1
1039,ESPORTSTMNT04/1140184,LCL,Vega Squadron,Unicorns Of Love.CIS,Gnar,Pantheon,Taliyah,Ezreal,Karma,Mordekaiser,RekSai,Syndra,Senna,TahmKench,0
1040,ESPORTSTMNT04/1140185,TCL,Team AURORA,İstanbul Wildcats,Mordekaiser,JarvanIV,Rumble,Aphelios,Nautilus,Renekton,Elise,Aatrox,MissFortune,Braum,1
1041,ESPORTSTMNT01/1321654,PCS,ahq eSports Club,Machi Esports,Sett,Nocturne,Rumble,Ezreal,Braum,Mordekaiser,RekSai,Leblanc,MissFortune,Thresh,0
1042,ESPORTSTMNT04/1140194,TCL,Dark Passage,Beşiktaş Esports,Sylas,Ekko,Sett,Senna,TahmKench,Neeko,Sejuani,Riven,Varus,Karma,0
1043,ESPORTSTMNT04/1140201,LCL,Gambit Esports,Dragon Army,Aatrox,Gragas,Ornn,Ezreal,Yuumi,Gangplank,RekSai,Leblanc,Senna,TahmKench,1
1044,ESPORTSTMNT01/1321677,PCS,J Team,Nova Esports,Ornn,JarvanIV,Rumble,Varus,TahmKench,Aatrox,Sejuani,Sylas,MissFortune,Nautilus,0
1045,ESPORTSTMNT04/1140205,LCL,CrowCrowd,Elements Pro Gaming,Ornn,Elise,Syndra,Ezreal,Pyke,Sett,RekSai,Vladimir,Senna,TahmKench,0
1046,ESPORTSTMNT01/1321705,CBLOL,FURIA Esports,Vivo Keyd,Renekton,Olaf,Rumble,Aphelios,Leona,Ornn,Sejuani,Azir,Varus,Braum,0
1047,ESPORTSTMNT04/1140209,LCL,M19,RoX,Sett,Sejuani,Lucian,Ziggs,Nautilus,Aatrox,LeeSin,Sylas,Cassiopeia,Thresh,0
1048,ESPORTSTMNT01/1321729,CBLOL,paiN Gaming,KaBuM! e-Sports,Renekton,Taliyah,Leblanc,Aphelios,TahmKench,Gangplank,Sejuani,Syndra,MissFortune,Nautilus,1
1049,ESPORTSTMNT01/1321751,CBLOL,Redemption eSports Porto Alegre,Flamengo Esports,Renekton,Sejuani,Ekko,Senna,Morgana,Sett,Karthus,Irelia,Varus,Nautilus,1
1050,ESPORTSTMNT01/1321781,CBLOL,Prodigy Esports,INTZ,Renekton,Elise,Ornn,Sivir,Rakan,Gangplank,Trundle,Sylas,MissFortune,Morgana,1
1051,5972-7349,LPL,eStar,Victory Five,Ornn,RekSai,Azir,Aphelios,Nautilus,Mordekaiser,JarvanIV,Leblanc,MissFortune,Leona,1
1052,5972-7350,LPL,eStar,Victory Five,Ornn,RekSai,Azir,Aphelios,Sett,Renekton,Elise,Lucian,Kalista,Leona,1
1053,5973-7351,LPL,Bilibili Gaming,Oh My God,Ornn,Olaf,Karma,Ezreal,Leona,Aatrox,LeeSin,Syndra,MissFortune,Nautilus,1
1054,5973-7352,LPL,Oh My God,Bilibili Gaming,Renekton,Elise,Leblanc,Caitlyn,TahmKench,Quinn,JarvanIV,Lissandra,MissFortune,Leona,1
1055,5973-7353,LPL,Bilibili Gaming,Oh My God,Camille,Elise,Varus,MissFortune,Nautilus,Renekton,LeeSin,Zoe,Caitlyn,TahmKench,0
1056,5974-7354,LPL,Vici Gaming,JD Gaming,Aatrox,JarvanIV,Rumble,Aphelios,Rakan,Ornn,RekSai,Zoe,MissFortune,Leona,1
1057,5974-7355,LPL,JD Gaming,Vici Gaming,Renekton,Sylas,Azir,Senna,TahmKench,Aatrox,JarvanIV,Rumble,KogMaw,Lulu,1
1058,5974-7356,LPL,Vici Gaming,JD Gaming,Ornn,JarvanIV,Galio,MissFortune,Rakan,Mordekaiser,RekSai,Leblanc,Xayah,Nautilus,0
1059,5975-7357,LPL,Rogue Warriors,EDward Gaming,Renekton,Trundle,Azir,Aphelios,Thresh,Mordekaiser,JarvanIV,Zoe,MissFortune,Braum,1
1060,5975-7358,LPL,Rogue Warriors,EDward Gaming,Aatrox,Gragas,Azir,Aphelios,Thresh,Fiora,JarvanIV,Zoe,MissFortune,Nautilus,0
1061,5975-7359,LPL,Rogue Warriors,EDward Gaming,Kennen,Trundle,Azir,Aphelios,Thresh,Aatrox,JarvanIV,Zoe,MissFortune,Nautilus,1
1062,5976-7360,LPL,Team WE,FunPlus Phoenix,Irelia,Sejuani,Zoe,Kalista,Thresh,Aatrox,JarvanIV,Kassadin,Varus,TahmKench,0
1063,5976-7361,LPL,Team WE,FunPlus Phoenix,Aatrox,Ekko,Pantheon,Ezreal,Leona,Poppy,LeeSin,Azir,MissFortune,Nautilus,0
1064,5977-7362,LPL,Victory Five,LNG Esports,Aatrox,LeeSin,Neeko,Kalista,Orianna,Mordekaiser,Pantheon,Rumble,Aphelios,Nautilus,0
1065,5977-7363,LPL,LNG Esports,Victory Five,Ornn,Pantheon,Rumble,Aphelios,Leona,Aatrox,RekSai,Syndra,Bard,Leblanc,0
1066,5977-7364,LPL,LNG Esports,Victory Five,Ornn,JarvanIV,Zoe,Aphelios,Nautilus,Aatrox,RekSai,Neeko,Pyke,Orianna,1
1067,5978-7365,LPL,Top Esports,Vici Gaming,Mordekaiser,Elise,Pantheon,Kalista,Nautilus,Renekton,RekSai,Leblanc,Tristana,Rakan,0
1068,5978-7366,LPL,Vici Gaming,Top Esports,Maokai,JarvanIV,Leblanc,Varus,Thresh,Kayle,LeeSin,Lissandra,MissFortune,Nautilus,0
1069,5978-7367,LPL,Vici Gaming,Top Esports,Renekton,Elise,Lucian,MissFortune,Braum,Kennen,Olaf,Zoe,Kalista,Thresh,0
1070,5979-7368,LPL,JD Gaming,Bilibili Gaming,Mordekaiser,JarvanIV,Leblanc,Varus,Thresh,Gangplank,Maokai,Zoe,MissFortune,Nautilus,1
1071,5979-7369,LPL,Bilibili Gaming,JD Gaming,Ornn,Maokai,Zoe,Ezreal,Thresh,Aatrox,Sylas,Lucian,Kalista,Bard,0
1072,5980-7370,LPL,Team WE,Dominus Esports,Aatrox,Ekko,Pantheon,Kaisa,Leona,Camille,Elise,Lissandra,Ezreal,Nautilus,1
1073,5980-7371,LPL,Team WE,Dominus Esports,Aatrox,Elise,Diana,Aphelios,Thresh,Camille,LeeSin,Azir,MissFortune,Nautilus,1
1074,5981-7372,LPL,Invictus Gaming,LGD Gaming,Rumble,Nidalee,Lucian,Varus,Braum,Maokai,Gragas,Qiyana,MissFortune,Thresh,1
1075,5981-7373,LPL,LGD Gaming,Invictus Gaming,Ornn,LeeSin,Azir,Varus,Nautilus,Aatrox,Elise,Rumble,Ezreal,Thresh,1
1076,5981-7374,LPL,Invictus Gaming,LGD Gaming,Sett,Trundle,Orianna,Ezreal,TahmKench,Ornn,Olaf,Nautilus,Varus,Yuumi,1
1077,5982-7375,LPL,FunPlus Phoenix,Suning,Aatrox,Elise,Kled,Senna,TahmKench,Ornn,Taliyah,Pantheon,MissFortune,Blitzcrank,1
1078,5982-7376,LPL,Suning,FunPlus Phoenix,Sett,Gragas,Galio,Draven,Leona,Renekton,Sejuani,Corki,MissFortune,Nautilus,0
1079,ESPORTSTMNT01/1323141,LCS.A,TSM Academy,Golden Guardians Academy,Sett,Zac,Syndra,Kalista,Taric,Kled,Sejuani,Zoe,Ezreal,Nautilus,1
1080,ESPORTSTMNT01/1313241,LCS.A,Cloud9 Academy,100 Thieves Academy,Ornn,Elise,Qiyana,Ezreal,TahmKench,Sett,RekSai,Diana,Varus,Nautilus,1
1081,ESPORTSTMNT01/1323170,LCS.A,Immortals Academy,FlyQuest Academy,Nocturne,RekSai,Karma,Kalista,Taric,Sett,Sejuani,Syndra,Kaisa,Thresh,0
1082,ESPORTSTMNT01/1313299,LCS.A,Dignitas Academy,CLG Academy,Sett,Gragas,Zoe,Ezreal,Braum,Renekton,Sejuani,Orianna,MissFortune,Rakan,0
1083,ESPORTSTMNT01/1323219,LCS.A,Team Liquid Academy,Evil Geniuses Academy,Sett,Taliyah,Irelia,Kalista,Thresh,Ornn,Elise,Renekton,MissFortune,Nautilus,0
1084,ESPORTSTMNT01/1323305,OPL,Avant Gaming,Legacy Esports,Aatrox,JarvanIV,Rumble,Varus,Thresh,Gangplank,Nidalee,Ornn,Senna,TahmKench,0
1085,ESPORTSTMNT01/1323323,OPL,ORDER,Gravitas,Ornn,Graves,Azir,Kaisa,Nautilus,Maokai,Hecarim,Ahri,MissFortune,Yuumi,1
1086,5983-7377,LPL,LNG Esports,Rogue Warriors,Aatrox,Elise,Azir,Aphelios,Braum,Rumble,JarvanIV,Cassiopeia,MissFortune,Rakan,1
1087,ESPORTSTMNT01/1323352,OPL,Pentanet.GG,Chiefs Esports Club,Mordekaiser,LeeSin,Zoe,MissFortune,Leona,Aatrox,JarvanIV,Leblanc,Aphelios,Braum,0
1088,5983-7378,LPL,Rogue Warriors,LNG Esports,Sett,JarvanIV,Azir,MissFortune,Nautilus,Aatrox,Elise,Zoe,Aphelios,Leona,0
